nombre,municipio,siteID,latitud,longitud
SANTANA 1 WELL,ARECIBO PR,182639066385200,18.47245,-66.71573
PIEZOMETER 19A,CAGUAS PR,181352066025300,18.23412,-66.0485
PIEZOMETER CAMPO RICO 1,CAROLINA PR,182515065594100,18.38078,-65.95739
FLORIDA 7 WELL,FLORIDA PR,182133066342800,18.36662,-66.56962
MER 3 WELL,GUAYANILLA PR,180052066471000,18.01913,-66.79184 
PALOMA 3 WELL,HATILLO PR,182637066475900,18.48633,-66.82545
PIEZOMETER JAC-6,JUANA DIAZ PR,180057066311300,18.05246,-66.50656 
MW 11 WELL,LUQUILLO PR,182224065430300,18.37245,-65.71655 
USGS 166 OBSERVATION WELL,MANATI PR,182549066304300,18.42745,-66.49212 
CE-RUM2 OBSERVATION WELL,MAYAGUEZ PR,181301067081900,18.20107,-67.13962
PIEZOMETER CA-1,NAGUABO PR,181217065453000,18.21162,-65.73488
CONSTANCIA 3 WELL,PONCE PR,175934066364800,18.01031,-66.62398
PIEZOMETER RASA D,SALINAS PR,175910066155500,17.97747,-66.29795 
PIEZOMETER AGUIRRE HW 5B,SALINAS PR,175947066130601,17.97750,-66.29799   
SAN GERMAN 1 WELL,SAN GERMAN PR,180531067010000,18.08163,-67.0449 
ALOMAR OESTE WELL,SANTA ISABEL PR,175734066233300,17.96608,-66.40489
PONDEROSA 1 WELL,VEGA ALTA PR,182515066194000,18.41217,-66.33128
